id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID000079,12.9994274,77.5496108,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL0070,MOPED,,"[""WRONG PARKING""]",[112],2024-04-07 23:04:46+00:00,,2024-04-09 21:13:52.158557+00,FKDEV00036,FKUSR00036,6.0,Rajajinagar,False,BTP027 - Modi Bridge Junction,,,,,,
FKID002147,12.9645782,77.5735549,"BGS Flyover, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",FKN00GL2145,LGV,,"[""WRONG PARKING""]",[112],2024-04-08 03:21:46+00:00,,2024-04-09 21:27:25.91406+00,FKDEV00474,FKUSR00101,27.0,Chamarajpet,False,"BTP083 - AS Char Street, Mysore Road",,,,,,
FKID002164,12.964609,77.5735005,"Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",FKN00GL2162,LGV,,"[""WRONG PARKING""]",[112],2024-04-08 03:20:46+00:00,,2024-04-09 21:27:58.077677+00,FKDEV00474,FKUSR00101,27.0,Chamarajpet,False,"BTP083 - AS Char Street, Mysore Road",,,,,,
FKID020857,12.9953079,77.6967492,,FKN00GL19556,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2024-04-08 08:18:46+00:00,,2024-04-10 19:57:29.168805+00,FKDEV00648,FKUSR00628,84.0,Mahadevapura,False,No Junction,,,,,,
FKID091103,12.9595339,77.5777492,"Kalasipalyam Main Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78013,CAR,,"[""WRONG PARKING""]",[112],2024-04-07 21:00:46+00:00,,2024-04-07 21:15:32.900442+00,FKDEV00703,FKUSR00677,28.0,City Market,False,BTP104 - Medical College Circle,,,,,,
FKID091130,12.9546499,77.5854967,"Lalbagh Main Road, Javaraiah Circle, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL39932,CAR,,"[""NO PARKING""]",[113],2024-04-07 22:00:46+00:00,,2024-04-07 22:15:13.809199+00,FKDEV00329,FKUSR00328,32.0,Wilson Garden,False,BTP120 - Lalbagh Main Gate Junction,,,,,,
FKID091137,13.0084787,77.6955376,"Kumbar Street, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL78039,SCOOTER,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2024-04-07 21:09:46+00:00,,2024-04-07 21:15:48.721178+00,FKDEV00174,FKUSR00946,15.0,K.R. Pura,False,No Junction,,,,,,
FKID091143,12.9176917,77.5968843,"East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",FKN00GL78045,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING""]","[107,112,113]",2024-04-07 20:57:46+00:00,,2024-04-07 21:15:49.195285+00,FKDEV01437,FKUSR01366,25.0,Jayanagara,False,"BTP202 - East End Main Road, Jayanagar",,,,,,
FKID091154,12.9181356,77.5968247,"East End A Main Road, Corporation Colony, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",FKN00GL78054,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING""]","[107,112,113]",2024-04-07 20:58:46+00:00,,2024-04-07 21:15:51.363647+00,FKDEV01437,FKUSR01366,25.0,Jayanagara,False,"BTP202 - East End Main Road, Jayanagar",,,,,,
FKID091158,12.9179593,77.5969198,"East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",FKN00GL78057,TEMPO,,"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]","[113,112,107]",2024-04-07 20:58:46+00:00,,2024-04-07 21:15:52.182482+00,FKDEV01437,FKUSR01366,25.0,Jayanagara,False,"BTP202 - East End Main Road, Jayanagar",,,,,,
FKID091159,12.9433009,77.5679459,"5th Main Road, Dhondusa Layout, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",FKN00GL78058,PASSENGER AUTO,,"[""NO PARKING""]",[113],2024-04-07 23:09:46+00:00,,2024-04-07 23:22:08.197703+00,FKDEV02056,FKUSR01905,7.0,Basavanagudi,False,No Junction,,,,,,
FKID091205,12.9648667,77.5750117,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78090,CAR,,"[""WRONG PARKING""]",[112],2024-04-07 16:43:46+00:00,,2024-04-07 17:54:49.923069+00,FKDEV00151,FKUSR00151,28.0,City Market,False,"BTP083 - AS Char Street, Mysore Road",,,,,,
